5.350  0.9945608 -0.1200090 0.6856237
5.360  0.9888604 -0.1105506 0.6850074
5.370  0.9830718 -0.1011121 0.6843707
5.380  0.9771954 -0.0916944 0.6837135
5.390  0.9712316 -0.0822984 0.6830361
5.400  0.9651808 -0.0729251 0.6823384
5.410  0.9590435 -0.0635756 0.6816206
5.420  0.9528200 -0.0542507 0.6808829
5.430  0.9465110 -0.0449513 0.6801252
5.440  0.9401167 -0.0356786 0.6793478
5.450  0.9336377 -0.0264333 0.6785508
5.460  0.9270745 -0.0172165 0.6777342
5.470  0.9204275 -0.0080292 0.6768983
5.480  0.9136973 0.0011278 0.6760431
5.490  0.9068843 0.0102534 0.6751688
5.500  0.8999890 0.0193468 0.6742756
5.510  0.8930120 0.0284069 0.6733637
5.520  0.8859538 0.0374328 0.6724330
5.530  0.8788149 0.0464236 0.6714840
5.540  0.8715958 0.0553783 0.6705166
5.550  0.8642972 0.0642960 0.6695311
5.560  0.8569195 0.0731758 0.6685276
5.570  0.8494633 0.0820166 0.6675064
5.580  0.8419292 0.0908176 0.6664676
5.590  0.8343178 0.0995778 0.6654114
5.600  0.8266296 0.1082962 0.6643381
5.610  0.8188653 0.1169721 0.6632477
5.620  0.8110254 0.1256043 0.6621405
5.630  0.8031106 0.1341921 0.6610168
5.640  0.7951214 0.1427344 0.6598767
5.650  0.7870586 0.1512304 0.6587204
5.660  0.7789226 0.1596791 0.6575481
5.670  0.7707143 0.1680796 0.6563602
5.680  0.7624341 0.1764310 0.6551567
5.690  0.7540827 0.1847323 0.6539380
5.700  0.7456609 0.1929828 0.6527042
5.710  0.7371692 0.2011814 0.6514556
5.720  0.7286084 0.2093273 0.6501925
5.730  0.7199790 0.2174195 0.6489150
5.740  0.7112819 0.2254572 0.6476235
5.750  0.7025176 0.2334395 0.6463181
5.760  0.6936870 0.2413654 0.6449991
5.770  0.6847906 0.2492342 0.6436668
5.780  0.6758292 0.2570449 0.6423214
5.790  0.6668035 0.2647966 0.6409632
5.800  0.6577142 0.2724884 0.6395924
5.810  0.6485621 0.2801196 0.6382092
5.820  0.6393479 0.2876891 0.6368141
5.830  0.6300723 0.2951962 0.6354071
5.840  0.6207361 0.3026401 0.6339886
5.850  0.6113400 0.3100197 0.6325589
5.860  0.6018848 0.3173343 0.6311182
5.870  0.5923712 0.3245831 0.6296668
5.880  0.5828000 0.3317652 0.6282049
5.890  0.5731721 0.3388797 0.6267328
5.900  0.5634880 0.3459258 0.6252509
5.910  0.5537488 0.3529027 0.6237593
5.920  0.5439551 0.3598096 0.6222583
5.930  0.5341077 0.3666456 0.6207483
5.940  0.5242075 0.3734100 0.6192295
5.950  0.5142552 0.3801019 0.6177021
5.960  0.5042517 0.3867204 0.6161665
5.970  0.4941977 0.3932649 0.6146230
